ID,요괴이름,국가,괴담내용,출처URL,output
11,Ma Da,베트남,"물에 익사한 자의 원혼이 물가에 남아 다른 사람을 끌어들여 대신 익사시키려 한다는 수령(替命) 개념의 수령귀. 특정 강변·물굽이에서 반복되는 익사 사고를 'Ma Da' 전설로 설명하며, 제사·굿으로 달래는 관습이 있음.",https://www.crazyalchemist.com/bestiary/ma-da,
12,Phi Tai Hong ,태국,"갑작스럽고 잔혹한 죽음(살해, 익사 등)을 당한 자의 맺힌 영혼으로 매우 맹렬하고 복수심이 강한 유령. 적절한 장례의식을 치르지 못했거나 비정상적 죽음이 원인으로 여겨지며 태국 민담과 영화·매체에 자주 등장함.",https://en.wikipedia.org/wiki/Phi_Tai_Hong,
13,장산범,한국,"부산 장산 일대에서 목격된다는 미확인 괴생물체로, 사람의 목소리를 흉내내어 사람을 홀린 뒤 잡아먹는다는 도시괴담이다. 비교적 최근(2000년대 이후) 인터넷 커뮤니티를 통해 확산된 현대적 도시전설로 알려져 있으며, 몸집이 크고 쇠를 긁는 듯한 소리를 낸다는 등 다양한 목격담이 전해진다.",https://namu.wiki/w/%EC%9E%A5%EC%82%B0%EB%B2%94,
14,호려정(Hồ ly tinh),베트남,"동아시아 전역에 전하는 구미(九尾) 여우 전설의 베트남형으로, 여우가 수백 년 수련하여 인간으로 변하거나 초능력을 얻는 존재이다. 미인으로 변해 사람을 유혹하거나 복을 가져다주는 신성한 존재로 숭배되기도 하며, 동시에 사람을 해치는 '요괴'로 묘사되는 이중적 이미지가 있다.",https://vi.wikipedia.org/wiki/H%E1%BB%93_ly_tinh,
15,마카롱(Ma cà rồng),베트남,"베트남 민간설화에 전해지는 '마(魔)' 계열 존재로, 서양의 흡혈귀와 달리 주로 생기(생명력)를 빼앗는 존재로 묘사된다. 시체가 밤에 무덤을 떠나 사람의 '숨'이나 생기를 빌려 가는 식의 이야기들이 전승되며, 지역·민족에 따라 다양한 명칭과 모습으로 전해진다.",https://kenh14.vn/kham-pha/truyen-thuyet-tin-nguong-ve-ma-ca-rong-va-su-that-20120217041739212.chn,
16,Pocong,인도네시아,"무덤에서 천(장례용 수의)째로 묶인 채로 나타나는 유령으로, 발 밑의 매듭 때문에 뛰듯 이동하거나 떠다니는 모습으로 전해진다. 보통 수의의 매듭을 풀어주면 영혼이 편히 떠난다고 하며, 자바·수마트라 등 인도네시아 지역 민간신앙에서 널리 알려진 존재이다.",https://en.wikipedia.org/wiki/Pocong,
17,유키온나 ,일본,"눈보라 속에 나타나는 흰 피부의 여성 영물/요괴로, 길 잃은 사람을 얼려 죽이거나 목숨을 구해주는 대신 조건을 요구하는 이야기 등 지역·이야기마다 선악 양면의 모습으로 전해짐. 무로마치 시대 이후 구전·문헌에 등장하며 근대에 들어 여러 문학·영화로 확산됨.",https://en.wikipedia.org/wiki/Yuki-onna,
18,프리 크라수 (Phi Krasue),태국,밤에 떠도는 여자 머리 모양의 유령으로 목에서 내장이 늘어져 있는 모습으로 묘사된다. 낮에는 평범한 여성으로 지내지만 밤이면 머리만 떠돌아다니며 피나 태반 등 썩은 음식·비위생적 물질을 먹는다는 이야기로 각국(캄보디아·라오스 등) 변형도 있다.,https://en.wikipedia.org/wiki/Krasue,
19,누레온나 ,일본,"머리는 여성, 몸은 거대한 뱀 같은 수생 요괴로 해안·강가에 나타난다. 젖은 머리카락을 하고 '아기를 잠깐 맡아달라'며 사람을 속인 뒤 무거워진 아기(혹은 돌로 변한 번들) 때문에 피해자가 움직일 수 없게 되면 물속으로 끌어가 죽인다는 전승이 있다.",https://en.wikipedia.org/wiki/Nure-onna,
20,죠로구모 ,일본,"거미에서 변한 요괴로 아름다운 여성으로 변신해 젊은 남성을 유혹한 뒤 거미줄로 감아 잡아먹는 이야기들이 전해진다. 좌우(女郎)와 거미(蜘蛛)의 이미지가 결합된 형태로, 교묘한 속임수와 치명적 위협을 지닌 존재로 묘사된다.",https://en.wikipedia.org/wiki/Jor%C5%8Dgumo,
21,바케쿠지라 ,일본,"고래의 유골이 유령처럼 바다 표면에 떠오르는 괴이한 현상으로 전해진다. 흰 뼈만 남은 거대한 고래 형태로 나타나고, 기묘한 새와 물고기 떼를 동반하며 목격 지역에 불운·병·화재 같은 재앙을 가져온다고 한다.",https://en.wikipedia.org/wiki/Bake-kujira,
22,니안 (Nian),중국,"설날 전후에 마을을 습격해 사람과 가축을 먹었다는 전설의 괴수로, 붉은 색·빛·큰 소리에 겁을 먹는다는 이야기가 전해진다. 이 전승은 홍·폭죽·사자춤 등 설날 풍속의 기원설과 연결된다.",https://en.wikipedia.org/wiki/Nian,
23,로쿠로쿠비 (Rokurokubi),일본,"낮에는 평범한 인간 여성이지만 밤이면 목이 길게 늘어나 머리를 멀리까지 움직일 수 있는 요괴. 보통 저주나 업보로 변했다고 전해지며, 사람들을 놀라게하거나 야간에 등불을 훔쳐먹는 등 이야기들이 전해진다.",https://yokai.com/rokurokubi,
24,노페라보 (Noppera-bō ),일본,처음에는 평범한 인간처럼 보이다가 가까이에서 얼굴을 보면 눈코입 등 얼굴의 모든 표정이 사라져 매끈한 얼굴만 남는 요괴. 길가나 여인숙 등에서 사람들을 놀라게 하는 이야기로 전해진다.,https://en.wikipedia.org/wiki/Noppera-b%C5%8D,
25,불가사리 (Bulgasari),한국,"쌀로 만들어졌다는 전설적 존재로, 쇠붙이를 먹고 끊임없이 성장하는 괴물. 병기와 농기구를 먹어 마을에 피해를 주고 여러 방법으로도 쉽게 죽지 않아 '불가살이(죽일 수 없다)'라 불린다. 전설·소설·영화 등으로 전승된다.",https://folkency.nfm.go.kr/topic/detail/5534,
26,낭 타니 (Nang Tani ),태국,"야생 바나나나무(타니나무)에 깃드는 여성 영혼으로, 초록색 전통의상을 입은 젊은 여성으로 나타난다. 보통 호의적이지만 남자를 놀라게 하거나, 나무를 훼손하면 노여움을 보인다는 전승이 있다.",https://en.wikipedia.org/wiki/Nang_Tani,
27,쿤틸라낙(Kuntilanak),인도네시아,"출산 중 사망한 여성의 원한이 변한 유령으로, 긴 흑발에 흰 옷을 입은 여성의 모습으로 자주 묘사된다. 아기 울음소리나 썩은 냄새로 근처에 있음을 알리며, 남성을 유인해 해를 끼친다는 이야기로 전해진다.",https://en.wikipedia.org/wiki/Kuntilanak,
28,잇탄모멘,일본,"가고시마 지방 전승의 요괴로, 길게 늘어진 흰 천 조각이 밤에 날아와 사람의 목이나 몸을 감아 질식시키거나 공격한다고 전해진다. 현대 매체에서는 때때로 장난기 많은 형상으로 묘사되기도 한다.",https://en.wikipedia.org/wiki/Ittan-momen,
29,틱발랑 (Tikbalang),필리핀,"말의 머리와 사람의 몸을 가진 거대한 요정·정령으로 숲과 산지에 서식한다고 전해진다. 길을 잃게 만들거나 장난을 치는 것으로 알려져 있으며, 전통적으로는 옷을 뒤집어 입으면 혼란스러워 도망간다고 전해진다.",https://en.wikipedia.org/wiki/Tikbalang,
30,바쿠나와 (Bakunawa),필리핀,"달을 먹는 거대한 용뱀으로 전해지며, 일식·월식 같은 현상을 설명하는 존재로 여겨진다. 옛 전승에서는 여러 개의 달을 삼킨 이야기가 전해지고, 사람들은 달을 지키기 위해 북을 치며 소리를 냈다고 한다.",https://en.wikipedia.org/wiki/Bakunawa,
31,오랑미냑 (Orang Minyak),말레이시아,"검은 기름이나 기름칠로 전신을 덮은 존재로, 밤에 젊은 여성들을 납치하거나 공격한다고 전해진다. 기원과 묘사는 다양한 변형이 있으며 20세기 중반 신문 보도를 통해 널리 알려졌다.",https://en.wikipedia.org/wiki/Orang_Minyak,
32,멍포 ,중국,저승에서 환생하기 전 망자에게 '망각의 탕'(孟婆湯)을 먹여 이전 생의 기억을 지우는 여신·인물이다. 나이허교(奈何橋) 근처에서 영혼들에게 탕을 제공한다는 이야기가 전해진다.,https://en.wikipedia.org/wiki/Meng_Po,
33,키요히메 ,일본,한 남자 승려 안친(安珍)의 구애를 거절당한 여인 키요가 격노하여 뱀으로 변신해 도조지(道成寺)의 종에 숨어 있던 안친을 쫓아가 죽였다는 전설. 노·교극 등으로 널리 알려진 집착과 변신의 이야기이다.,https://en.wikipedia.org/wiki/Kiyohime,
34,지키닌키 ,일본,"탐욕이나 죄악으로 인해 저주받아 인간의 시체를 먹고 다니는 식인 귀신(구울)로, 불가사의한 외형과 함께 무덤이나 폐사찰 주변에 출몰한다는 설화가 전해진다.",https://en.wikipedia.org/wiki/Jikininki,
35,매 낙 (Mae Nak ),태국,남편이 전쟁터에 가 있는 사이 출산 중 사망한 낙이라는 여인이 귀신이 되어 남편을 기다리다 집을 떠나지 못하고 마을을 괴롭혔다는 전설. 방콕 프라카농 지역의 유명한 귀신으로 사당과 여러 영화·창작물의 소재가 되었다.,https://ko.wikipedia.org/wiki/%EB%A7%A4_%EB%82%99_%ED%94%84%EB%9D%BC%EC%B9%B4%EB%86%8D,
36,카프레 (Kapre),필리핀,"발레테(혹은 큰 나무)에 사는 거대한 털복숭이 남성형 영물로, 파이프를 피우고 나뭇가지에 앉아 사람들을 혼란에 빠뜨리거나 장난을 치는 존재로 묘사된다. 지역에 따라 수호자 또는 장난꾸러기 성격으로 전해진다.",https://en.wikipedia.org/wiki/Kapre,
37,위웨 곰벨 (Wewe Gombel),인도네시아 (자바),"버림받거나 학대받는 아이들을 납치해 자신이 보살피는다는 자바 전설의 여성 유령. 부모가 뉘우칠 때까지 아이들을 되돌려주지 않는다는 이야기로, 아이 방치에 대한 경고담 역할을 한다.",https://en.wikipedia.org/wiki/Wewe_Gombel,
38,텐구 (Tengu),일본,"반인반조 또는 장엄한 산속의 은둔자로 묘사되는 요괴로, 때로는 교활한 장난꾼으로, 때로는 무예를 가르치는 수호자(혹은 사악한 존재)로 전해진다. 산과 신사 주변에 출몰한다고 전해진다.",https://en.wikipedia.org/wiki/Tengu,
39,누에 (Nue),일본,"원숭이의 얼굴·호랑이의 다리·너구리(타누키)의 몸·뱀의 꼬리 등 혼합된 형상을 한 일본의 기이한 괴물로, 밤에 불길한 울음을 내어 재난이나 불운의 징조로 여겨졌다.",https://en.wikipedia.org/wiki/Nue,
40,흑백무상 (Heibai Wuchang),중국,"흑무상과 백무상이라는 두 존재로 표현되는 저승의 사자 겸 영혼 인도자들로, 죽은 자의 영혼을 저승으로 데려가며 선악에 따라 보상이나 벌을 준다고 전해진다.",https://en.wikipedia.org/wiki/Heibai_Wuchang,
41,티야낙 (Tiyanak),필리핀,갓난아기 모습으로 사람을 유인한 뒤 실제로는 흉악한 괴물로 변해 공격하거나 영혼과 생명력을 빨아먹는다고 전해지는 필리핀 민속의 요괴다. 지역별 변형이 많다.,https://en.wikipedia.org/wiki/Tiyanak,
42,피 팝 (Phi Pop / Pop),태국,"빙의형 악령으로, 사람이나 동물에 들어가 내장 등을 먹어치우는 식인적 성향이 있으며, 마을에서는 무당이나 의식으로 이를 쫓아내려 한다는 전승이 있다.",https://en.wikipedia.org/wiki/Pop_(ghost),
43,장승,한국,"마을 입구나 사찰 들머리에 세워진 목·석제의 사람 모양 수호상. 악귀를 쫓고 경계 표시·마을 수호의 역할을 했으며, 특정 장승에 대한 제사(장승제)와 관련된 지역별 전승담이 많음. 때로는 마을의 풍년·안녕을 기원하는 주체로서 동제(마을굿)의 중심이 되기도 함.",https://webzine.nfm.go.kr/2023/03/02/%EA%B5%AD%EB%A6%BD%EB%AF%BC%EC%86%8D%EB%B0%95%EB%AC%BC%EA%B4%80%EC%9D%98-%EC%88%98%ED%98%B8%EC%8B%A0-%EC%8C%8D%EA%B3%84%EC%82%AC-%EC%9E%A5%EC%8A%B9,
44,삼족오,한국,"해를 상징하는 세 발 달린 까마귀 전설. 고구려 고분벽화 등에서 태양을 수호하거나 신성한 징조로 그려지며, 왕권·수호·길조의 상징으로 민담과 고대 유물에 자주 등장한다. 지역 설화에서는 삼족오가 하늘·태양과 연결된 신비한 존재로 묘사됨.",https://folkency.nfm.go.kr/topic/detail/9790,
45,해태,한국,"사자형의 상상 동물로서 정의를 판단하고 화재·재앙을 막는 수호신적 존재. 궁궐·관청의 문·광장 등에 석상으로 세워져 악을 누르거나 풍수를 바로잡는 상징으로 전해지며, 광화문 앞 해태 석상처럼 각지의 유래담과 석물 관련 이야기가 전한다.",https://yeseowon.tistory.com/1634,
46,우부메(Ubume),일본,"산고(産後)에 죽은 여성의 혼령으로, 밤에 다리나 길가에서 지나가는 이에게 아기를 맡겨 달라 부탁하는 모습으로 전승됨. 맡은 아이가 갑자기 무거워지거나 돌·나뭇잎으로 변하는 등 지역별 변이담이 있으며, 때로는 영혼을 달래는 의례로 수호신으로 변모하기도 한다.",https://yokai.jp/en/yokai/ubume,
47,도깨비너구리(Bake-danuki),일본,"실제 동물인 너구리(일본의 '타누키')가 변신해 사람·물건으로 속이거나 장난을 치는 전승. 잔꾀·장난·형체 변화를 주로 하며, 에도 이후 그림·설화·도자기(시가라키의 다수의 타누키 조형물)로 대중화되어 친근하면서도 기묘한 요괴로 남아 있다.",https://www.sccp.jp,
48,이무기,한국,"뱀과 유사한 거대 수생 생물로, 오랜 세월을 살면 하늘로 올라가 용이 된다는 전승이 전해진다. 마을 우물·연못·냇가와 관련된 지명 설화가 많고, 때로는 사람을 해하거나 길흉을 예고하는 존재로 묘사된다.",https://ncms.nculture.org/origin-of-place-names/story/5088,
49,손각시 (손말명),한국,"시집을 가지 못한 처녀가 죽어 원혼이 되어 나타난다는 이야기로, 집안에 해를 끼치거나 특정 장소에 서려 신경쓰이는 기운을 남긴다고 전해진다. 지역마다 풀어주는 굿이나 치유담이 함께 전승된다.",https://encykorea.aks.ac.kr/Article/E0030464,
50,쿠단(Kudan),일본,"소의 몸에 사람 얼굴을 한 예언적 요괴로 전해진다. 태어나 사람의 말을 하여 향후 대사건이나 재앙을 예고한 뒤 짧은 수명을 다한다고 전해지며, 에도·메이지 시대의 시범지(화보 등)에 자주 등장했다.",https://yokai.jp/en/yokai/kudan,
51,츠치노코,일본,"짧고 굵은 몸통에 짧은 꼬리를 가진 뱀과 유사한 미확인생물로, 일본 전역의 마을 설화와 현대의 목격담·축제 문화로 남아 있다. 일부 지방에서는 탐색 행사나 축제가 열리며 마을의 미스터리로 사랑받는다.",https://www.vill.higashishirakawa.gifu.jp/syoukai/gaiyo/tsuchinoko/tsuchinokofesta,
52,우시오니,일본,"소의 머리와 괴이한 몸을 가진 전통적 요괴로, 특히 에히메·고치 등 서일본 지역의 축제·의례에 등장한다. 마을을 지키거나 악귀를 쫓는 상징으로 거대한 가면·가마로 행렬에 등장하는 경우가 많다.",https://www.hey-japan.com/event/uwajima-ushi-oni-festival,
53,처용 (Cheoyong),한국,"신라 설화에 등장하는 처용이 귀신을 물리친 이야기를 바탕으로 한 인물이다. 처용의 얼굴을 본 떠 만든 처용탈과 처용무는 액을 막고 역신을 내쫓는 굿·탈춤 전통으로 전승되며, 궁중 및 민속 의례에서 악귀·역병을 막는 상징으로 사용된다.",https://folkency.nfm.go.kr/kr/topic/detail/4986,
54,삼신할미 (Samshin Halmi),한국,삼신(삼신할미)은 잉태·출산·유아기(보통 7세 이전)까지의 탄생과 성장을 관장하는 여성 신들이다. 산모·아이의 건강과 출산을 비는 삼신제(삼신상에 밥·미역국을 올리는 의례) 등으로 민간에서 널리 공경되며 지역·시기별로 다양한 형태의 신앙 행위로 전승된다.,https://encykorea.aks.ac.kr/Article/E0026698,
55,좌식와라시(Zashiki‑warashi),일본,"주로 이와테(岩手) 지방 등 토호 가옥의 '안방'에 깃드는 어린아이 모습의 가택신. 집에 좌식와라시가 있으면 그 집은 번영하고, 떠나면 쇠락한다는 설화가 전해진다. 장난스럽고 장가의 물건을 숨기거나 밤에 방석을 뒤집는 등 소소한 장난담이 많다. '遠野物語'의 전승지인 원향(遠野)의 민속관과 관련 시설에서 전승·소개된다.",https://tonofurusato.jp,
56,아마노자쿠(Amanojaku),일본,"남의 말이나 사회적 규범에 일부러 거슬리는 행동을 유도하거나 사람의 심중을 읽고 그것을 역이용하는 교활한 소악귀. 설화마다 성격과 형상이 달라 사람을 괴롭히거나 장난을 치는 존재로 묘사되며, '하기 싫은 대로 하게 만드는 존재'라는 의미로 현대 일본어의 관용 표현에도 남아 있다.",https://e2japan.com/myth/creatures/amanojaku,
57,가마이타치(Kamaitachi),일본,"‘낫(鎌)을 지닌 족제비’ 같은 요괴로, 눈보라·소용돌이 바람과 함께 날아와 사람의 살갗을 베는 전설이 있다. 지역마다 달라지지만 흔히 세 마리가 함께 행동한다는 이야기(첫째가 바람을 일으키고 둘째가 베며 셋째가 치료한다는 유형 등)가 전해진다. 눈길에 생긴 설명할 수 없는 날카로운 상처의 원인으로 언급되기도 한다.",https://yokai.com/itachi,
58,불개 (Bulgae),한국,"어둠의 나라 가망나라에서 온 불의 사냥개로, 해와 달을 훔치려 달려들었다가 태양·달과 닿으면 타서 도망간다는 전설이 있다. 전통적으로 일식·월식을 설명하는 존재로 전해지며, 하늘을 쫓는 불개 이야기는 여러 지역 민담과 서사에 남아 있다.",https://mythlok.com/bulgae,
59,인면조 (Inmyeonjo),한국,"사람의 얼굴을 한 새로 고구려·삼국시대 벽화와 문헌에 등장한다. 천지의 화합과 장수를 상징하거나 무덤의 길조로 그려졌으며, 평화로운 시기에 나타난다는 설화적 의미를 지닌다.",https://www.mythosjourney.com/encyclopedia/pages/inmyeonjo,
60,아카나메 (Akaname),일본,"‘때벗기는 자’라는 뜻의 욕실 요괴로, 더러운 욕탕이나 화장실에 기거하며 때·찌꺼기를 혀로 핥아 먹는다고 전해진다. 아이들에게 청결을 가르치기 위한 교육적 이야기로도 전승되며 에도시대 주변 자료에서 등장한다.",https://yokai.com/akaname,
61,카라카사오바케(Karakasa-obake),일본,"오래된 기모노 양산(종이우산)이나 우산이 도구요괴(츠쿠모가미)가 되어 변한 존재로, 한쪽 다리·한눈·긴 혀 등 기괴한 모습으로 묘사된다. 주로 밤에 집안에서 튀어나온다는 구전이 있어 오래된 물건을 소중히 하라는 교훈으로도 읽힌다.",https://thejapanbox.com/blogs/japanese-mythology/kasa-obake,
62,Kuman Thong,태국,"‘황금 아이’라는 뜻의 가호 신격화된 유령·인형 신앙으로, 원래는 태아·유아의 영을 봉인해 복과 재물을 불러온다는 믿음에서 유래했다. 현대에는 탈골 인형·부처 사원에서 축복을 받는 형태로 보존되며 논란과 민속적 신앙이 혼재한다.",https://www.atlasobscura.com/articles/kuman-thong-roasted-fetuses-in-gold-leaf,
63,아마노자(amanoja),일본,"상대방의 마음을 읽고 일부러 그와 반대되는 행동을 하거나 말썽을 부리는 일본의 전통 요괴.멜론에서 태어난 아름다운 소녀가 혼인을 앞두고 있을 때, 아마노자쿠가 나타나 그녀를 속여 나무에 묶거나 살해한 뒤 그녀의 가죽(옷)을 뒤집어쓰고 공주 행세를 하며 혼례를 망치려다 결국 들통나 쫓겨나거나 처단당한다는 잔혹한 잔혹동화 계열의 이야기",ㅇ,
64,우렁각시,한국,"밭일을 돕거나 집안 살림을 거들어주며 은혜를 베푸는 ‘우렁이(우렁) 각시’ 전설. 주로 가난한 총각에게 우렁이가 밤마다 사람의 모습으로 들어와 밥을 지어주고 집을 돌봐주다가, 은혜를 저버리거나 비밀을 들키면 사라지거나 비극적 결말을 맞는 이야기 유형으로 한국 민담에 여러 변형으로 전해진다.",https://www.hanfuture.pe.kr/bbs/board.php?bo_table=story1&wr_id=59&page=9&device=mobile,
65,영노,한국,"경상도 지역 탈놀이·가면극에 등장하는 상상의 동물형 인물로, 주로 양반을 꾸짖거나 희화화하는 역할을 맡는다. 민속극의 고유한 상징인 영노는 공연 속에서 웃음과 풍자를 담당하며 지역별로 형태와 연행 방식에 차이가 있다.",https://folkency.nfm.go.kr/topic/%EC%98%81%EB%85%B8,
66,모쿠모쿠렌 (Mokumokuren),일본,"낡아 찢어진 쇼지(종이 미닫이)나 다다미의 구멍에서 수많은 눈들이 빼꼼히 나와 집안을 지켜보는 요괴. 대개 해를 끼치진 않지만 버려진 집이나 방치된 물건에 깃들어 다른 악귀들을 불러오는 징조로 여겨지며, 구멍을 메워 물건을 수리하면 사라진다고 전해진다.",https://thejapanbox.com/blogs/japanese-mythology/mokumokuren,
67,히토츠메코조우 (Hitotsume-kozō),일본,"한쪽 눈만 가진 어린 승려 모습의 요괴로 밤길에 행인을 놀라게 하거나 장난을 치는 존재로 전해진다. 지역 채록 자료와 에도기 회화에 등장하며, 장난 많고 가벼운 괴담의 소재로 민간에 널리 퍼져 있다.",https://www.nichibun.ac.jp/cgi-bin/YoukaiDB3/ksearch.cgi?Name=%E3%83%92%E3%83%88%E3%83%84%E3%83%A1%E3%82%B3%E3%82%BE%E3%82%A6&Pref=&Area=%E4%B8%AD%E9%83%A8,
68,크라항 (Krahang),태국,"태국 민간설화의 남성형 야행성 유령으로, 두 개의 대형 키(쟁반 같은)를 양 팔에 붙여 날고, 장대로 된 절구막대(쌀 찧는 막대)를 꼬리처럼 사용해 비행한다고 전해진다. 종종 여성형 유령 'กระสือ(크라수에)'와 한 쌍으로 묘사되며, 밤에 사람을 해치하거나 마을을 어지럽히는 이야기로 전해진다.",https://www.silpa-mag.com/culture/article_101789,
69,창귀,한국,"호랑이에게 물려죽거나 익사한 자의 혼이 되어 남아, 원한으로 가족과 친척을 차례로 해치거나 물로 유인해 죽게 만든다는 귀신. 옛 사람들은 호환을 두려워해 특별한 장례·제사와 금기(호식총 등)를 남겼고, ‘창귀’는 호환(虎患) 관련 풍습과 연결되어 전승된다.",https://www.kh.or.kr/brd/board/741/L/menu/740?brdType=R&thisPage=1&bbIdx=112285&searchField=&searchText=finden,
70,달걀귀신,한국,"오래된 달걀처럼 생겼다는 전승에서 유래한 귀신으로, 인간 모습으로 가장할 때 얼굴의 눈·코·입이 없다고 전해진다. 지역별로 전승 양상이 다르며 마을 전설·구전 괴담집에 수록된 사례들이 남아 있다.",https://pajucc.or.kr/hanmadang/zboard.php,
71,Nuppeppō,일본,"에도 시대 전래의 요괴 그림책·이야기에 등장하는, 일그러진 살덩어리 모양의 괴물. 둔탁하고 역한 냄새를 풍기며, 인간에게 불길한 징조를 남기거나 먹으면 불로불사 같은 전설적 효능을 준다는 변이담이 전해진다. 여러 옛 그림첩(妖怪絵巻)에 도상으로 남아 있다.",https://da.nichibun.ac.jp/item/004587069,
72,Gashadokuro,일본,"전투나 기근으로 묻히지 않은 죽은 이들의 뼈가 모여 거대한 해골 괴물이 되어 밤중에 떠돌며 사람을 잡아먹는다는 전승. 뼈가 부스럭거리는 소리를 내며 나타나고, 목을 물어 머리를 물어뜯는 등 잔혹한 모습으로 묘사된다. 비교적 근현대에 형상화가 확산된 요괴다.",https://yokai.jp/en/yokai/gashadokuro,
73,Pret,태국,"불교권의 ‘굶주린 귀신’ 전승에 속하는 존재로, 큰 키와 길쭉한 목·입 등으로 묘사되며 끝없는 배고픔과 갈증에 시달린다. 인도·동남아의 전승이 지역별로 변형되어 전해지며, 태국 민담에서는 악업으로 인한 업보의 화신·교훈담으로 자주 등장한다.",https://www.matichon.co.th/weekly/featured/article_67676,
